1,0.475
2,0.58
3,0.64
4,0.665
5,0.68
6,0.705
7,0.72
8,0.73
9,0.74
10,0.745
11,0.76
12,0.76
13,0.77
14,0.77
15,0.775
16,0.775
17,0.775
18,0.78
19,0.78
20,0.78
21,0.78
22,0.78
23,0.78
24,0.78
25,0.79
26,0.79
27,0.795
28,0.795
29,0.795
30,0.805
31,0.805
32,0.805
33,0.81
34,0.81
35,0.81
36,0.81
37,0.815
38,0.815
39,0.815
40,0.815
41,0.815
42,0.82
43,0.82
44,0.82
45,0.82
46,0.825
47,0.825
48,0.83
49,0.83
50,0.83
51,0.83
52,0.83
53,0.83
54,0.83
55,0.83
56,0.835
57,0.835
58,0.835
59,0.835
60,0.835
61,0.835
62,0.835
63,0.835
64,0.835
65,0.835
66,0.835
67,0.835
68,0.835
69,0.835
70,0.835
71,0.835
72,0.835
73,0.835
74,0.835
75,0.84
76,0.84
77,0.84
78,0.84
79,0.84
80,0.84
81,0.84
82,0.84
83,0.84
84,0.845
85,0.845
86,0.845
87,0.845
88,0.845
89,0.845
90,0.845
91,0.845
92,0.845
93,0.845
94,0.845
95,0.845
96,0.845
97,0.845
98,0.845
99,0.845
100,0.845
