1,0.34
2,0.475
3,0.515
4,0.555
5,0.585
6,0.6
7,0.62
8,0.645
9,0.675
10,0.675
11,0.675
12,0.685
13,0.7
14,0.705
15,0.71
16,0.71
17,0.715
18,0.715
19,0.72
20,0.725
21,0.73
22,0.73
23,0.73
24,0.73
25,0.73
26,0.735
27,0.735
28,0.735
29,0.735
30,0.74
31,0.75
32,0.75
33,0.75
34,0.75
35,0.755
36,0.755
37,0.76
38,0.76
39,0.765
40,0.77
41,0.77
42,0.77
43,0.77
44,0.77
45,0.77
46,0.77
47,0.77
48,0.77
49,0.77
50,0.775
51,0.775
52,0.775
53,0.775
54,0.775
55,0.775
56,0.775
57,0.775
58,0.775
59,0.775
60,0.78
61,0.78
62,0.78
63,0.785
64,0.785
65,0.785
66,0.785
67,0.79
68,0.79
69,0.795
70,0.795
71,0.8
72,0.8
73,0.81
74,0.815
75,0.825
76,0.825
77,0.825
78,0.825
79,0.825
80,0.825
81,0.825
82,0.825
83,0.825
84,0.825
85,0.825
86,0.83
87,0.83
88,0.83
89,0.83
90,0.83
91,0.83
92,0.83
93,0.83
94,0.83
95,0.83
96,0.83
97,0.83
98,0.83
99,0.83
100,0.83
