1,0.22
2,0.33
3,0.375
4,0.43
5,0.45
6,0.48
7,0.525
8,0.535
9,0.54
10,0.545
11,0.565
12,0.57
13,0.585
14,0.6
15,0.615
16,0.615
17,0.62
18,0.625
19,0.625
20,0.63
21,0.63
22,0.63
23,0.64
24,0.64
25,0.65
26,0.665
27,0.68
28,0.685
29,0.7
30,0.705
31,0.705
32,0.705
33,0.71
34,0.715
35,0.715
36,0.715
37,0.725
38,0.725
39,0.725
40,0.73
41,0.73
42,0.74
43,0.745
44,0.745
45,0.745
46,0.75
47,0.75
48,0.75
49,0.76
50,0.76
51,0.76
52,0.765
53,0.765
54,0.77
55,0.77
56,0.77
57,0.77
58,0.77
59,0.77
60,0.77
61,0.77
62,0.775
63,0.775
64,0.78
65,0.78
66,0.78
67,0.78
68,0.78
69,0.78
70,0.785
71,0.785
72,0.785
73,0.785
74,0.785
75,0.785
76,0.785
77,0.79
78,0.795
79,0.795
80,0.795
81,0.795
82,0.795
83,0.795
84,0.795
85,0.795
86,0.795
87,0.795
88,0.795
89,0.795
90,0.795
91,0.795
92,0.795
93,0.795
94,0.795
95,0.795
96,0.795
97,0.795
98,0.795
99,0.795
100,0.795
